agency_id,account_sender_name,country_sender,account_receiver_name,country_receiver,amount,payment_type,datetime_timestamp
5454,McKesson,SPA,Activision Blizard,UK,4836791,transfer,0
5389,Nissan,FR,McKesson,JAP,8832365,card,1000
7959,CapGemini,JAP,Tesla,SP,9073805,card,2000
1896,ConocoPhillips,JAP,Valeo,CHI,429663,card,3000
1806,Nissan,SWI,Carrefour,CHI,6746165,card,4000
2890,CapGemini,SPA,Renault,SPA,1520815,transfer,5000
218,Nissan,CHI,Exxon Mobil,ITA,2658213,transfer,6000
1753,McKesson,ITA,Valeo,US,4179345,cheque,7000
1975,Activision Blizard,UK,Nissan,FR,2801766,cheque,8000
8963,Chevron,SWI,Tesla,JAP,9421237,transfer,9000
3766,Carrefour,SWI,Monoprix,SWI,4590184,card,10000
6414,Nissan,CHI,Nissan,ITA,3720952,cheque,11000
7433,ConocoPhillips,SWI,CapGemini,UK,348713,transfer,12000
538,General Motos,FR,Renault,US,3020671,card,13000
9783,Renault,FR,McKesson,GER,6558056,cheque,14000
8350,Chevron,SPA,McKesson,ITA,4494774,cheque,15000
4413,CapGemini,FR,ConocoPhillips,JAP,231757,cheque,16000
9324,Carrefour,SWI,Valeo,SWI,7645916,transfer,17000
9918,CapGemini,JAP,Tesla,UK,3783354,card,18000
6100,General Motos,FR,Exxon Mobil,ITA,1333254,cheque,19000
8825,Monoprix,CHI,General Motos,SWI,499025,cheque,20000
4288,Nissan,US,Renault,ITA,7013956,cheque,21000
8642,Exxon Mobil,SP,Tesla,US,1000247,card,22000
894,Carrefour,UK,Tesla,UK,8249502,cheque,23000
8364,McKesson,FR,Tesla,SWI,8935900,cheque,24000
9873,Valeo,SP,Activision Blizard,SWI,8317289,card,25000
8363,Nissan,ITA,Monoprix,GER,5198187,cheque,26000
1987,Exxon Mobil,US,Renault,UK,4887211,card,27000
309,Valeo,JAP,Monoprix,FR,9965155,cheque,28000
282,CapGemini,ITA,McKesson,FR,8888955,card,29000
6969,Chevron,CHI,Activision Blizard,FR,1439554,cheque,30000
4523,General Motos,ITA,Activision Blizard,SWI,6763154,cheque,31000
143,Renault,CHI,Monoprix,FR,6655029,card,32000
3076,Exxon Mobil,SPA,CapGemini,SPA,3763033,card,33000
2071,Carrefour,FR,Activision Blizard,ITA,6356354,cheque,34000
6103,Exxon Mobil,SWI,Valeo,GER,4179388,transfer,35000
3463,McKesson,CHI,Activision Blizard,GER,6858061,transfer,36000
2622,Monoprix,ITA,Carrefour,CHI,6520381,transfer,37000
4297,General Motos,FR,Carrefour,SP,3076765,cheque,38000
1663,Exxon Mobil,US,Valeo,ITA,5540067,card,39000
3907,ConocoPhillips,US,Valeo,SWI,9413177,transfer,40000
7954,Chevron,US,Renault,ITA,2008075,cheque,41000
5383,Monoprix,CHI,Carrefour,SWI,6030365,cheque,42000
7,Monoprix,SWI,Activision Blizard,SWI,2555092,transfer,43000
1507,Carrefour,CHI,Exxon Mobil,US,5722115,transfer,44000
3610,Nissan,GER,Renault,CHI,2468167,card,45000
497,Chevron,US,General Motos,SP,2006388,card,46000
8563,General Motos,CHI,Carrefour,UK,5213911,transfer,47000
1397,Renault,ITA,Valeo,SWI,896265,cheque,48000
7925,CapGemini,UK,Renault,FR,3485215,card,49000
7054,Tesla,JAP,CapGemini,SPA,4592156,transfer,50000
4899,Monoprix,GER,ConocoPhillips,GER,7413488,card,51000
644,McKesson,JAP,Tesla,SPA,4380275,transfer,52000
7915,Monoprix,GER,Exxon Mobil,FR,5082535,card,53000
3810,General Motos,ITA,Monoprix,US,8208629,cheque,54000
4816,Exxon Mobil,SWI,Monoprix,SP,7125465,cheque,55000
9601,Activision Blizard,FR,Monoprix,JAP,2635225,card,56000
3707,Renault,CHI,Tesla,JAP,2182256,cheque,57000
9347,Renault,JAP,General Motos,FR,3155739,cheque,58000
9679,CapGemini,JAP,Renault,ITA,2852275,cheque,59000
9610,Carrefour,SP,Tesla,SPA,5695417,cheque,60000
3127,CapGemini,ITA,Activision Blizard,CHI,2925642,cheque,61000
4580,Nissan,JAP,Monoprix,SP,8468407,card,62000
831,CapGemini,ITA,CapGemini,CHI,4542757,card,63000
2391,CapGemini,US,Exxon Mobil,JAP,9575360,cheque,64000
1678,Carrefour,JAP,Monoprix,ITA,1886922,transfer,65000
9232,McKesson,US,Chevron,SP,2215404,transfer,66000
4124,Valeo,CHI,Chevron,SPA,5474819,transfer,67000
5709,McKesson,JAP,ConocoPhillips,SPA,5921722,transfer,68000
9652,ConocoPhillips,ITA,ConocoPhillips,CHI,4265693,transfer,69000
685,CapGemini,SP,Valeo,US,208955,card,70000
7164,McKesson,US,Exxon Mobil,US,8405366,transfer,71000
5466,Monoprix,US,Valeo,UK,9808302,card,72000
1585,Nissan,JAP,Valeo,JAP,2449331,card,73000
8893,General Motos,ITA,Tesla,FR,829340,cheque,74000
9852,Renault,SWI,Valeo,UK,5960458,cheque,75000
8972,General Motos,SPA,Valeo,SPA,315663,card,76000
5548,Nissan,FR,Activision Blizard,SPA,5131899,cheque,77000
4028,Activision Blizard,ITA,CapGemini,UK,8165956,transfer,78000
7492,ConocoPhillips,ITA,ConocoPhillips,GER,6632010,cheque,79000
9262,Valeo,SP,Activision Blizard,ITA,6421862,card,80000
7059,Exxon Mobil,ITA,Monoprix,ITA,4452418,transfer,81000
3296,General Motos,GER,Carrefour,FR,4720997,cheque,82000
5844,Renault,UK,ConocoPhillips,UK,9454606,card,83000
7315,ConocoPhillips,JAP,Tesla,UK,4397852,transfer,84000
4989,Nissan,UK,ConocoPhillips,US,915411,transfer,85000
118,Carrefour,JAP,Exxon Mobil,JAP,6193689,cheque,86000
7763,ConocoPhillips,SP,Chevron,SP,5361848,cheque,87000
6386,McKesson,JAP,Activision Blizard,SWI,91979,cheque,88000
5808,General Motos,SWI,General Motos,UK,7177223,card,89000
3273,Exxon Mobil,CHI,Activision Blizard,GER,3943578,cheque,90000
5773,CapGemini,SPA,Monoprix,UK,7334353,cheque,91000
1340,Carrefour,CHI,CapGemini,SP,3992076,card,92000
2660,CapGemini,ITA,McKesson,JAP,651648,cheque,93000
7608,ConocoPhillips,SWI,Monoprix,SP,2781837,card,94000
6578,McKesson,CHI,Carrefour,SPA,4550530,transfer,95000
4957,Chevron,SWI,Activision Blizard,ITA,1585145,cheque,96000
3178,Tesla,GER,Activision Blizard,ITA,6126519,card,97000
5905,Tesla,SPA,Renault,GER,9626421,cheque,98000
5164,CapGemini,ITA,Renault,GER,7997030,cheque,99000
8256,Chevron,UK,ConocoPhillips,SP,2346898,cheque,100000
3503,Valeo,FR,Renault,JAP,4072983,cheque,101000
3041,Activision Blizard,US,Renault,GER,7869102,card,102000
7454,General Motos,SWI,Tesla,GER,4069960,card,103000
8169,Monoprix,ITA,McKesson,CHI,1277718,cheque,104000
5355,Renault,FR,General Motos,US,9436976,cheque,105000
6978,Carrefour,ITA,Activision Blizard,FR,5398690,cheque,106000
6656,McKesson,SWI,Chevron,CHI,8526261,cheque,107000
3291,Chevron,JAP,Valeo,UK,5452321,transfer,108000
5994,Chevron,ITA,General Motos,UK,9073325,transfer,109000
7358,Nissan,SP,Monoprix,ITA,7314964,cheque,110000
1213,Tesla,US,Nissan,CHI,3630629,cheque,111000
5744,Monoprix,SP,McKesson,SPA,7958758,cheque,112000
2666,Nissan,JAP,Activision Blizard,ITA,3754754,card,113000
3323,CapGemini,FR,Tesla,GER,78639,transfer,114000
8662,Tesla,CHI,Renault,CHI,1437005,transfer,115000
2289,Chevron,SP,Nissan,ITA,6758801,card,116000
7431,Activision Blizard,UK,CapGemini,UK,5954959,cheque,117000
3229,McKesson,US,CapGemini,US,852605,cheque,118000
1130,Exxon Mobil,FR,McKesson,GER,2196607,transfer,119000
5465,Monoprix,SP,ConocoPhillips,SPA,1987059,transfer,120000
1017,Nissan,FR,Activision Blizard,ITA,3863609,transfer,121000
5700,Renault,CHI,General Motos,UK,9411463,transfer,122000
2185,General Motos,GER,ConocoPhillips,UK,5742729,cheque,123000
6927,Chevron,UK,Chevron,US,7936522,card,124000
9252,Exxon Mobil,SWI,General Motos,US,2092268,cheque,125000
8089,Valeo,GER,Renault,SPA,5852437,transfer,126000
8559,Tesla,SP,Exxon Mobil,SWI,4116624,transfer,127000
500,General Motos,GER,Nissan,US,3182173,card,128000
21,Monoprix,UK,CapGemini,SWI,2140836,card,129000
898,Chevron,SWI,Nissan,US,6380263,card,130000
2156,Activision Blizard,JAP,Nissan,UK,4244685,cheque,131000
8327,Monoprix,JAP,Valeo,GER,9717269,cheque,132000
8605,Activision Blizard,US,Renault,UK,5290642,cheque,133000
766,Tesla,SPA,Activision Blizard,SP,3749871,card,134000
9522,Tesla,US,Renault,US,4371425,transfer,135000
1696,Chevron,GER,ConocoPhillips,SPA,2550785,transfer,136000
9915,Nissan,GER,Nissan,FR,7698568,transfer,137000
570,ConocoPhillips,SP,ConocoPhillips,SP,1173981,card,138000
6257,Exxon Mobil,JAP,Exxon Mobil,GER,5938347,transfer,139000
891,General Motos,CHI,Monoprix,UK,5958153,transfer,140000
1787,Activision Blizard,ITA,ConocoPhillips,JAP,4365999,transfer,141000
8044,Monoprix,CHI,Activision Blizard,US,8657772,transfer,142000
3078,Valeo,SPA,Tesla,ITA,9618996,transfer,143000
1127,Monoprix,ITA,Monoprix,ITA,4639247,cheque,144000
4495,Activision Blizard,ITA,McKesson,ITA,379464,card,145000
6530,CapGemini,SP,Chevron,ITA,6282721,cheque,146000
4727,Tesla,ITA,Renault,UK,3202684,card,147000
4496,McKesson,CHI,Carrefour,US,1080233,transfer,148000
7207,Nissan,US,CapGemini,CHI,4997404,card,149000
5811,Exxon Mobil,SP,Chevron,JAP,9296365,card,150000
2868,Renault,US,Exxon Mobil,US,6990,card,151000
8329,Activision Blizard,US,Nissan,SWI,2800871,card,152000
9799,Renault,SP,Exxon Mobil,UK,703076,card,153000
5064,ConocoPhillips,US,Carrefour,CHI,2149660,card,154000
9389,Renault,FR,General Motos,SPA,1514305,cheque,155000
5894,Exxon Mobil,FR,General Motos,ITA,3076276,card,156000
5252,Exxon Mobil,CHI,Tesla,ITA,8200187,transfer,157000
3306,General Motos,US,CapGemini,SWI,6790273,cheque,158000
6570,Tesla,SPA,Monoprix,SWI,4699002,transfer,159000
4004,ConocoPhillips,FR,Carrefour,SP,7276711,card,160000
8030,Chevron,US,Tesla,SPA,8759724,card,161000
1901,Chevron,JAP,Monoprix,JAP,8221768,card,162000
5183,CapGemini,FR,General Motos,US,2282731,card,163000
8789,Carrefour,UK,Valeo,CHI,3287709,transfer,164000
8934,Monoprix,GER,General Motos,UK,8432469,transfer,165000
4436,Nissan,JAP,Tesla,SP,9511597,card,166000
2233,General Motos,SWI,McKesson,SPA,1636458,transfer,167000
9614,Exxon Mobil,ITA,ConocoPhillips,SWI,3092086,card,168000
1884,McKesson,JAP,Monoprix,CHI,9326490,transfer,169000
1837,Chevron,SWI,Chevron,US,7181668,card,170000
6394,Nissan,JAP,Carrefour,SP,2472758,cheque,171000
2556,Chevron,US,ConocoPhillips,GER,6174868,transfer,172000
3107,CapGemini,JAP,Carrefour,JAP,2301729,card,173000
9347,Carrefour,SP,Valeo,SPA,8894251,transfer,174000
4942,Carrefour,SPA,General Motos,JAP,8841919,cheque,175000
1723,Exxon Mobil,CHI,Chevron,CHI,6544087,cheque,176000
2775,Activision Blizard,FR,Renault,ITA,3865032,transfer,177000
8410,General Motos,JAP,General Motos,SP,4569820,card,178000
7111,CapGemini,ITA,McKesson,UK,6682938,card,179000
6560,Carrefour,GER,Nissan,US,5225064,cheque,180000
2454,CapGemini,GER,Activision Blizard,CHI,3288764,cheque,181000
6136,CapGemini,JAP,Tesla,SWI,4890583,card,182000
2221,Nissan,SWI,Monoprix,CHI,3908527,transfer,183000
5879,Carrefour,FR,Chevron,SPA,9521401,transfer,184000
4642,Nissan,UK,Nissan,FR,3701035,cheque,185000
1116,Carrefour,SWI,Renault,SPA,1818973,cheque,186000
4459,McKesson,JAP,CapGemini,ITA,3601726,card,187000
5059,Renault,UK,General Motos,UK,7286613,card,188000
2605,Valeo,US,ConocoPhillips,SP,5317479,cheque,189000
5105,Activision Blizard,CHI,ConocoPhillips,US,3811552,card,190000
5885,ConocoPhillips,CHI,Activision Blizard,US,3488124,card,191000
8150,Renault,JAP,Renault,SP,1674079,card,192000
7322,McKesson,ITA,Carrefour,US,5756983,transfer,193000
2685,General Motos,SWI,Exxon Mobil,ITA,732956,transfer,194000
3941,Exxon Mobil,ITA,Monoprix,FR,4661057,transfer,195000
8349,General Motos,SP,General Motos,US,1543686,transfer,196000
4247,Renault,ITA,Monoprix,ITA,67610,cheque,197000
7685,McKesson,FR,Nissan,GER,9201605,cheque,198000
8991,Nissan,JAP,Monoprix,GER,8840436,cheque,199000
8000,Carrefour,SP,CapGemini,FR,5463401,card,200000
5394,Renault,SPA,Chevron,UK,6012453,transfer,201000
7146,Chevron,FR,Chevron,US,2272526,cheque,202000
5054,Activision Blizard,FR,General Motos,SWI,7369140,cheque,203000
9448,Exxon Mobil,GER,Monoprix,US,6610244,cheque,204000
8297,Renault,SPA,ConocoPhillips,ITA,4854693,cheque,205000
9932,McKesson,FR,Valeo,US,9584650,cheque,206000
1091,Renault,GER,Exxon Mobil,SP,7353558,cheque,207000
2598,Chevron,UK,ConocoPhillips,SP,6280128,cheque,208000
6526,Valeo,GER,Renault,JAP,1352063,transfer,209000
8459,Monoprix,ITA,Exxon Mobil,UK,7857862,cheque,210000
8699,Exxon Mobil,UK,Valeo,SP,9225327,card,211000
4340,Nissan,US,McKesson,GER,7728437,cheque,212000
5377,General Motos,SWI,Carrefour,US,9564829,cheque,213000
1058,Valeo,FR,McKesson,GER,2559134,cheque,214000
3317,General Motos,FR,ConocoPhillips,SWI,6259643,cheque,215000
853,Nissan,FR,Exxon Mobil,US,7702641,card,216000
5112,Chevron,US,Exxon Mobil,CHI,8316253,transfer,217000
7875,ConocoPhillips,GER,Nissan,FR,2781919,transfer,218000
3807,Renault,SP,Monoprix,CHI,4292154,transfer,219000
5163,Valeo,FR,Monoprix,SPA,5805236,card,220000
1585,Activision Blizard,US,Monoprix,US,7090471,cheque,221000
3941,Valeo,CHI,Nissan,UK,9453925,card,222000
3231,Monoprix,SPA,Chevron,JAP,1058942,cheque,223000
4291,Monoprix,US,Exxon Mobil,UK,2685136,transfer,224000
8087,McKesson,UK,CapGemini,UK,7699481,cheque,225000
5572,Carrefour,CHI,Valeo,SP,7278702,card,226000
3803,ConocoPhillips,GER,Tesla,GER,5792430,card,227000
8098,Renault,FR,Tesla,UK,1548603,cheque,228000
7672,Nissan,GER,Renault,ITA,7626856,card,229000
9926,CapGemini,GER,Exxon Mobil,UK,5353614,transfer,230000
823,Tesla,UK,Carrefour,ITA,506986,cheque,231000
7481,General Motos,ITA,McKesson,SPA,8846621,transfer,232000
8211,Chevron,SWI,Nissan,FR,7107654,cheque,233000
6688,ConocoPhillips,ITA,Chevron,GER,7715457,card,234000
2561,Chevron,SP,General Motos,JAP,5871338,card,235000
8183,Monoprix,GER,Monoprix,SP,6848668,transfer,236000
3513,Activision Blizard,ITA,CapGemini,SPA,2698162,transfer,237000
4880,Renault,FR,Carrefour,SP,4896047,cheque,238000
4361,ConocoPhillips,SP,Activision Blizard,GER,4275612,card,239000
2587,CapGemini,FR,ConocoPhillips,FR,749342,transfer,240000
7671,Renault,SPA,CapGemini,JAP,7287923,cheque,241000
8383,McKesson,ITA,Exxon Mobil,GER,9680466,cheque,242000
6667,Exxon Mobil,SP,Chevron,ITA,5099844,transfer,243000
7968,General Motos,ITA,McKesson,SPA,5903311,transfer,244000
9093,Chevron,GER,Carrefour,ITA,8710727,card,245000
5470,ConocoPhillips,UK,Monoprix,FR,6326043,card,246000
6455,General Motos,GER,Exxon Mobil,UK,1598241,transfer,247000
8677,ConocoPhillips,FR,Monoprix,UK,7764118,card,248000
4691,Activision Blizard,UK,CapGemini,SPA,7358825,card,249000
9252,Valeo,GER,Renault,UK,9996903,cheque,250000
3686,General Motos,ITA,Activision Blizard,JAP,9767867,cheque,251000
1896,Chevron,US,CapGemini,US,7763812,cheque,252000
8576,Monoprix,FR,Carrefour,US,9658873,card,253000
9266,ConocoPhillips,SWI,Chevron,SPA,9123447,card,254000
4696,McKesson,SP,Exxon Mobil,ITA,3562935,cheque,255000
6691,General Motos,JAP,CapGemini,GER,9575692,cheque,256000
6047,Tesla,SP,Tesla,JAP,1129365,cheque,257000
1547,ConocoPhillips,CHI,McKesson,FR,2935159,transfer,258000
6680,CapGemini,SPA,Renault,GER,9103640,cheque,259000
917,Chevron,FR,ConocoPhillips,GER,4128753,transfer,260000
1554,General Motos,CHI,Tesla,JAP,7739624,cheque,261000
3779,Monoprix,SPA,Carrefour,GER,268628,card,262000
3679,General Motos,CHI,Valeo,JAP,1009925,card,263000
8899,McKesson,US,General Motos,FR,6751822,cheque,264000
5869,Tesla,ITA,Renault,FR,4051168,cheque,265000
9641,Exxon Mobil,SPA,Renault,CHI,7394686,card,266000
7322,Tesla,CHI,ConocoPhillips,FR,259831,transfer,267000
8914,ConocoPhillips,FR,Monoprix,GER,7652393,transfer,268000
6939,McKesson,US,Carrefour,CHI,4459621,cheque,269000
2529,Carrefour,SWI,Valeo,JAP,8812535,card,270000
5917,Carrefour,JAP,Tesla,FR,9561662,card,271000
7536,Valeo,US,ConocoPhillips,SPA,3504495,cheque,272000
4240,Activision Blizard,SWI,Nissan,SPA,8554960,cheque,273000
5485,Valeo,ITA,Chevron,SPA,8351126,cheque,274000
1819,McKesson,ITA,Monoprix,JAP,5567324,transfer,275000
4267,Chevron,FR,Renault,CHI,5854668,card,276000
1850,Nissan,SP,ConocoPhillips,SP,3605612,card,277000
4849,CapGemini,SP,Exxon Mobil,CHI,6757856,card,278000
1502,Activision Blizard,SPA,McKesson,FR,497389,transfer,279000
2731,Exxon Mobil,CHI,McKesson,ITA,2124945,cheque,280000
3538,Chevron,JAP,Exxon Mobil,GER,6711033,cheque,281000
5816,Exxon Mobil,SWI,McKesson,SWI,6298810,transfer,282000
4413,Exxon Mobil,ITA,Tesla,ITA,1027981,transfer,283000
7475,ConocoPhillips,CHI,Carrefour,FR,5326162,card,284000
9841,Renault,GER,Chevron,CHI,7570482,card,285000
5917,Valeo,UK,CapGemini,SP,8432571,card,286000
1015,Nissan,GER,Carrefour,UK,1400838,card,287000
8254,Chevron,GER,Chevron,SPA,8552135,card,288000
4495,Tesla,UK,Activision Blizard,ITA,2817659,cheque,289000
