Benjamin Godard - Victor Hugo,16107,3,0,"[48.865983, 2.275725]",2022-08-12T12:05:30+00:00,3,32,35,OUI,OUI,Paris,OUI
Mairie de Rosny-sous-Bois,31104,20,8,"[48.871256519012, 2.4865807592869]",2022-08-12T12:13:11+00:00,28,1,30,OUI,OUI,Rosny-sous-Bois,OUI
Toudouze - Clauzel,9020,0,0,"[48.87929591733507, 2.3373600840568547]",2022-08-12T12:09:46+00:00,0,19,21,OUI,OUI,Paris,OUI
Mairie du 12ème,12109,5,24,"[48.840855311763, 2.3875549435616]",2022-08-12T12:13:33+00:00,29,1,30,OUI,OUI,Paris,OUI
Harpe - Saint-Germain,5001,5,22,"[48.85151881501689, 2.343670316040516]",2022-08-12T12:10:58+00:00,27,15,45,OUI,OUI,Paris,OUI
Messine - Place Du Pérou,8026,6,4,"[48.875448033960744, 2.315508019010038]",2022-08-12T12:13:30+00:00,10,2,12,OUI,OUI,Paris,OUI
Cassini - Denfert-Rochereau,14111,4,1,"[48.837525839067, 2.3360354080796]",2022-08-12T12:13:31+00:00,5,20,25,OUI,OUI,Paris,OUI
Saint-Sulpice,6003,5,0,"[48.85165383178419, 2.3308077827095985]",2022-08-12T12:05:45+00:00,5,16,21,OUI,OUI,Paris,OUI
Le Brun - Gobelins,13007,3,11,"[48.835092787823875, 2.353468135133752]",2022-08-12T12:07:20+00:00,14,32,48,OUI,OUI,Paris,OUI
Saint-Romain - Cherche-Midi,6108,5,4,"[48.84708159081946, 2.321374788880348]",2022-08-12T12:04:52+00:00,9,8,17,OUI,OUI,Paris,OUI
André Karman - République,33006,3,2,"[48.91039875761846, 2.3851355910301213]",2022-08-12T12:12:17+00:00,5,23,31,OUI,OUI,Aubervilliers,OUI
Pierre et Marie Curie - Maurice Thorez,42016,3,4,"[48.81580226360801, 2.376804985105991]",2022-08-12T12:09:54+00:00,7,18,27,OUI,OUI,Ivry-sur-Seine,OUI
Beaux-Arts - Bonaparte,6021,0,2,"[48.856451985395786, 2.334851883351803]",2022-08-12T12:04:10+00:00,2,17,20,OUI,OUI,Paris,OUI
Silly - Galliéni,21010,5,14,"[48.835583838706, 2.2325500845909]",2022-08-12T12:12:37+00:00,19,6,25,OUI,OUI,Boulogne-Billancourt,OUI
Place Nelson Mandela,25006,5,0,"[48.862090937689715, 2.196576297283173]",2022-08-12T12:09:07+00:00,5,16,22,OUI,OUI,Rueil-Malmaison,OUI
Jouffroy d'Abbans - Wagram,17026,3,8,"[48.881973298351625, 2.301132157444954]",2022-08-12T12:11:05+00:00,11,29,40,OUI,OUI,Paris,OUI
Grande Armée - Brunel,17038,6,7,"[48.876116, 2.288124]",2022-08-12T12:12:06+00:00,13,37,62,OUI,OUI,Paris,OUI
Guersant - Gouvion-Saint-Cyr,17041,5,3,"[48.88287775178599, 2.287667370814871]",2022-08-12T12:10:17+00:00,8,27,36,OUI,OUI,Paris,OUI
Invalides - Duroc,7001,7,7,"[48.8477924732952, 2.3161920905113225]",2022-08-12T12:13:31+00:00,14,14,29,OUI,OUI,Paris,OUI
Vaneau - Sèvres,7002,4,10,"[48.84856323305935, 2.3204218259345537]",2022-08-12T12:10:35+00:00,14,21,35,OUI,OUI,Paris,OUI
Benjamin Godard - Victor Hugo,16107,3,0,"[48.865983, 2.275725]",2022-08-12T12:05:30+00:00,3,32,35,OUI,OUI,Paris,OUI
Mairie de Rosny-sous-Bois,31104,20,8,"[48.871256519012, 2.4865807592869]",2022-08-12T12:13:11+00:00,28,1,30,OUI,OUI,Rosny-sous-Bois,OUI
Toudouze - Clauzel,9020,0,0,"[48.87929591733507, 2.3373600840568547]",2022-08-12T12:09:46+00:00,0,19,21,OUI,OUI,Paris,OUI
Mairie du 12ème,12109,5,24,"[48.840855311763, 2.3875549435616]",2022-08-12T12:13:33+00:00,29,1,30,OUI,OUI,Paris,OUI
Harpe - Saint-Germain,5001,5,22,"[48.85151881501689, 2.343670316040516]",2022-08-12T12:10:58+00:00,27,15,45,OUI,OUI,Paris,OUI
Messine - Place Du Pérou,8026,6,4,"[48.875448033960744, 2.315508019010038]",2022-08-12T12:13:30+00:00,10,2,12,OUI,OUI,Paris,OUI
Cassini - Denfert-Rochereau,14111,4,1,"[48.837525839067, 2.3360354080796]",2022-08-12T12:13:31+00:00,5,20,25,OUI,OUI,Paris,OUI
Saint-Sulpice,6003,5,1,"[48.85165383178419, 2.3308077827095985]",2022-08-12T12:05:45+00:00,6,15,21,OUI,OUI,Paris,OUI
Le Brun - Gobelins,13007,3,11,"[48.835092787823875, 2.353468135133752]",2022-08-12T12:07:20+00:00,14,32,48,OUI,OUI,Paris,OUI
Saint-Romain - Cherche-Midi,6108,5,4,"[48.84708159081946, 2.321374788880348]",2022-08-12T12:04:52+00:00,9,8,17,OUI,OUI,Paris,OUI
André Karman - République,33006,3,2,"[48.91039875761846, 2.3851355910301213]",2022-08-12T12:12:17+00:00,5,23,31,OUI,OUI,Aubervilliers,OUI
Beaux-Arts - Bonaparte,6021,0,2,"[48.856451985395786, 2.334851883351803]",2022-08-12T12:04:10+00:00,2,17,20,OUI,OUI,Paris,OUI
Silly - Galliéni,21010,5,14,"[48.835583838706, 2.2325500845909]",2022-08-12T12:12:37+00:00,19,6,25,OUI,OUI,Boulogne-Billancourt,OUI
Place Nelson Mandela,25006,5,0,"[48.862090937689715, 2.196576297283173]",2022-08-12T12:09:07+00:00,5,16,22,OUI,OUI,Rueil-Malmaison,OUI
Jouffroy d'Abbans - Wagram,17026,3,8,"[48.881973298351625, 2.301132157444954]",2022-08-12T12:11:05+00:00,11,29,40,OUI,OUI,Paris,OUI
Grande Armée - Brunel,17038,6,7,"[48.876116, 2.288124]",2022-08-12T12:12:06+00:00,13,37,62,OUI,OUI,Paris,OUI
Guersant - Gouvion-Saint-Cyr,17041,5,3,"[48.88287775178599, 2.287667370814871]",2022-08-12T12:10:17+00:00,8,27,36,OUI,OUI,Paris,OUI
Invalides - Duroc,7001,7,7,"[48.8477924732952, 2.3161920905113225]",2022-08-12T12:13:31+00:00,14,14,29,OUI,OUI,Paris,OUI
Vaneau - Sèvres,7002,4,10,"[48.84856323305935, 2.3204218259345537]",2022-08-12T12:10:35+00:00,14,21,35,OUI,OUI,Paris,OUI
Thouin - Cardinal Lemoine,5016,3,1,"[48.84504716661511, 2.3494647851273465]",2022-08-12T12:13:28+00:00,4,13,17,OUI,OUI,Paris,OUI
Benjamin Godard - Victor Hugo,16107,3,0,"[48.865983, 2.275725]",2022-08-12T12:05:30+00:00,3,32,35,OUI,OUI,Paris,OUI
Mairie de Rosny-sous-Bois,31104,20,8,"[48.871256519012, 2.4865807592869]",2022-08-12T12:13:11+00:00,28,1,30,OUI,OUI,Rosny-sous-Bois,OUI
Toudouze - Clauzel,9020,0,0,"[48.87929591733507, 2.3373600840568547]",2022-08-12T12:09:46+00:00,0,19,21,OUI,OUI,Paris,OUI
Mairie du 12ème,12109,5,24,"[48.840855311763, 2.3875549435616]",2022-08-12T12:13:33+00:00,29,1,30,OUI,OUI,Paris,OUI
Messine - Place Du Pérou,8026,6,4,"[48.875448033960744, 2.315508019010038]",2022-08-12T12:13:30+00:00,10,2,12,OUI,OUI,Paris,OUI
Cassini - Denfert-Rochereau,14111,4,1,"[48.837525839067, 2.3360354080796]",2022-08-12T12:13:31+00:00,5,20,25,OUI,OUI,Paris,OUI
Saint-Sulpice,6003,5,1,"[48.85165383178419, 2.3308077827095985]",2022-08-12T12:05:45+00:00,6,15,21,OUI,OUI,Paris,OUI
Saint-Romain - Cherche-Midi,6108,5,4,"[48.84708159081946, 2.321374788880348]",2022-08-12T12:04:52+00:00,9,8,17,OUI,OUI,Paris,OUI
André Karman - République,33006,3,2,"[48.91039875761846, 2.3851355910301213]",2022-08-12T12:12:17+00:00,5,23,31,OUI,OUI,Aubervilliers,OUI
Beaux-Arts - Bonaparte,6021,0,2,"[48.856451985395786, 2.334851883351803]",2022-08-12T12:04:10+00:00,2,17,20,OUI,OUI,Paris,OUI
Silly - Galliéni,21010,5,14,"[48.835583838706, 2.2325500845909]",2022-08-12T12:12:37+00:00,19,6,25,OUI,OUI,Boulogne-Billancourt,OUI
Place Nelson Mandela,25006,5,0,"[48.862090937689715, 2.196576297283173]",2022-08-12T12:09:07+00:00,5,16,22,OUI,OUI,Rueil-Malmaison,OUI
Jouffroy d'Abbans - Wagram,17026,3,8,"[48.881973298351625, 2.301132157444954]",2022-08-12T12:11:05+00:00,11,29,40,OUI,OUI,Paris,OUI
Grande Armée - Brunel,17038,6,7,"[48.876116, 2.288124]",2022-08-12T12:12:06+00:00,13,37,62,OUI,OUI,Paris,OUI
Guersant - Gouvion-Saint-Cyr,17041,5,3,"[48.88287775178599, 2.287667370814871]",2022-08-12T12:10:17+00:00,8,27,36,OUI,OUI,Paris,OUI
Invalides - Duroc,7001,7,7,"[48.8477924732952, 2.3161920905113225]",2022-08-12T12:13:31+00:00,14,14,29,OUI,OUI,Paris,OUI
Vaneau - Sèvres,7002,4,10,"[48.84856323305935, 2.3204218259345537]",2022-08-12T12:10:35+00:00,14,21,35,OUI,OUI,Paris,OUI
Thouin - Cardinal Lemoine,5016,3,1,"[48.84504716661511, 2.3494647851273465]",2022-08-12T12:13:28+00:00,4,13,17,OUI,OUI,Paris,OUI
Froment - Bréguet,11025,1,9,"[48.8570414504784, 2.37289470306807]",2022-08-12T12:12:07+00:00,10,31,43,OUI,OUI,Paris,OUI
Morillons - Dantzig,15047,6,1,"[48.83310149953933, 2.299380004405976]",2022-08-12T12:11:49+00:00,7,45,52,OUI,OUI,Paris,OUI
Benjamin Godard - Victor Hugo,16107,3,0,"[48.865983, 2.275725]",2022-08-12T12:05:30+00:00,3,32,35,OUI,OUI,Paris,OUI
Mairie de Rosny-sous-Bois,31104,20,8,"[48.871256519012, 2.4865807592869]",2022-08-12T12:13:11+00:00,28,1,30,OUI,OUI,Rosny-sous-Bois,OUI
Toudouze - Clauzel,9020,0,0,"[48.87929591733507, 2.3373600840568547]",2022-08-12T12:09:46+00:00,0,19,21,OUI,OUI,Paris,OUI
Messine - Place Du Pérou,8026,6,4,"[48.875448033960744, 2.315508019010038]",2022-08-12T12:13:30+00:00,10,2,12,OUI,OUI,Paris,OUI
Cassini - Denfert-Rochereau,14111,4,2,"[48.837525839067, 2.3360354080796]",2022-08-12T12:13:31+00:00,6,19,25,OUI,OUI,Paris,OUI
Saint-Sulpice,6003,5,1,"[48.85165383178419, 2.3308077827095985]",2022-08-12T12:05:45+00:00,6,15,21,OUI,OUI,Paris,OUI
Le Brun - Gobelins,13007,1,11,"[48.835092787823875, 2.353468135133752]",2022-08-12T12:07:20+00:00,12,34,48,OUI,OUI,Paris,OUI
Saint-Romain - Cherche-Midi,6108,5,4,"[48.84708159081946, 2.321374788880348]",2022-08-12T12:04:52+00:00,9,8,17,OUI,OUI,Paris,OUI
André Karman - République,33006,3,2,"[48.91039875761846, 2.3851355910301213]",2022-08-12T12:12:17+00:00,5,23,31,OUI,OUI,Aubervilliers,OUI
Silly - Galliéni,21010,5,14,"[48.835583838706, 2.2325500845909]",2022-08-12T12:12:37+00:00,19,6,25,OUI,OUI,Boulogne-Billancourt,OUI
Place Nelson Mandela,25006,5,0,"[48.862090937689715, 2.196576297283173]",2022-08-12T12:09:07+00:00,5,16,22,OUI,OUI,Rueil-Malmaison,OUI
Jouffroy d'Abbans - Wagram,17026,3,8,"[48.881973298351625, 2.301132157444954]",2022-08-12T12:11:05+00:00,11,29,40,OUI,OUI,Paris,OUI
Grande Armée - Brunel,17038,6,7,"[48.876116, 2.288124]",2022-08-12T12:12:06+00:00,13,37,62,OUI,OUI,Paris,OUI
Guersant - Gouvion-Saint-Cyr,17041,5,3,"[48.88287775178599, 2.287667370814871]",2022-08-12T12:10:17+00:00,8,27,36,OUI,OUI,Paris,OUI
Square Boucicaut,7003,19,19,"[48.851296433665276, 2.325061820447445]",2022-08-12T12:12:44+00:00,38,22,60,OUI,OUI,Paris,OUI
Invalides - Duroc,7001,7,7,"[48.8477924732952, 2.3161920905113225]",2022-08-12T12:13:31+00:00,14,14,29,OUI,OUI,Paris,OUI
